,ClassLabel,Sentence,SentimentScore,SubjectivityScore
0,﻿1,The Da Vinci Code book is just awesome.,1.0,1.0
1,1,"this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this.",0.4166666666666667,0.4444444444444444
2,1,i liked the Da Vinci Code a lot.,0.6,0.8
3,1,i liked the Da Vinci Code a lot.,0.6,0.8
4,1,I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.,0.6,0.9
5,1,"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.",0.6000000000000001,0.9
6,1,"I loved the Da Vinci Code, but now I want something better and different!..",0.4,0.6333333333333333
7,1,"i thought da vinci code was great, same with kite runner.",0.4,0.4375
8,1,The Da Vinci Code is actually a good movie...,0.7,0.6000000000000001
9,1,I thought the Da Vinci Code was a pretty good book.,0.475,0.8
10,1,The Da Vinci Code is one of the most beautiful movies ive ever seen.,0.675,0.75
11,1,"The Da Vinci Code is an * amazing * book, do not get me wrong.",0.05000000000000005,0.9
12,1,then I turn on the light and the radio and enjoy my Da Vinci Code.,0.4,0.6
13,1,The Da Vinci Code was REALLY good.,0.7,0.6000000000000001
14,1,i love da vinci code....,0.5,0.6
15,1,i loved da vinci code..,0.7,0.8
16,1,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...,0.85,1.0
17,1,THE DA VINCI CODE is AN AWESOME BOOK....,1.0,1.0
18,1,"Thing is, I enjoyed The Da Vinci Code.",0.5,0.7
19,1,very da vinci code slash amazing race.,0.4,0.6
20,1,Hey I loved The Da Vinci Code!..,0.875,0.8
21,1,also loved the da vinci code..,0.7,0.8
22,1,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.,-0.125,0.6083333333333333
23,1,I do like Angels and Demons more then The Da Vinci Code.,0.5,0.5
24,1,The Da Vinci Code was a really good movie.,0.7,0.6000000000000001
25,1,"yeah, da vinci code is an awesome movie i liked it pretty interesting.",0.5875,0.825
26,1,I really like The Da Vinci Code.,0.2,0.2
27,1,Da Vinci Code is amazing.,0.6000000000000001,0.9
28,1,The Da Vinci Code was awesome...,1.0,1.0
29,1,"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart.",0.16666666666666666,0.375
30,1,Book ( s ): I love The Da Vinci Code..,0.5,0.6
31,1,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband.",0.2291666666666667,0.6708333333333334
32,1," Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown.
1	I love the da vinci code...
1	Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
1	I just read Da Vinci Code ( which was AWESOME by the way ) ¬†.
1	The Da Vinci Code is excellent if you read it as normal as you read other novels,,,..
1	I loved the Da Vinci Code!
1	I love reading The Da Vinci Code!!!!
1	I'm telling you, the Da Vinci Code is an AWESOME book!
1	Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).
1	And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment  seeing how the other side reads.",0.461111111111111,0.6579365079365079
33,1,I love the Da Vinci Code.,0.5,0.6
34,1,Da Vinci code is awesome!,1.0,1.0
35,1,The Da Vinci Code is awesome.,1.0,1.0
36,1,The Da Vinci Code is SUCH an awesome book!,0.5,0.75
37,1,I LOVE THE DA VINCI CODE...,0.5,0.6
38,1,I loved The Da Vinci Code.,0.7,0.8
39,1,the da vinci code is awesome!,1.0,1.0
40,1,oh so beautiful Da Vinci Code...,0.85,1.0
41,1,i loved the da vinci code.,0.7,0.8
42,1,The Da Vinci Code is an awesome book.,1.0,1.0
43,1,Da vinci code is an awesome book.,1.0,1.0
44,1,I miss ripping acoustic music and the Da Vinci Code...,0.0,0.0
45,1,"Personally, I neither hate nor love the Da Vinci Code.",-0.10000000000000002,0.6
46,1,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.,0.175,0.8
47,1,"Da Vinci Code is of course a awesome book, but you will figure that out on page 286.",1.0,1.0
48,1,"I love "" The Da Vinci Code!",0.625,0.6
49,1,i LOVED the Da Vinci Code.,0.7,0.8
50,1,"But seriously, the Da Vinci Code is an awesome book.",0.33333333333333337,0.8333333333333333
51,1,da vinci code is awesome.,1.0,1.0
52,1,I love The Da Vinci Code.,0.5,0.6
53,1,the da vinci code is awesome!,1.0,1.0
54,1,omg i love the da vinci code that is such an awesome book!,0.5,0.7000000000000001
55,1,The Da Vinci Code is an awesome book...,1.0,1.0
56,1,The Da Vinci Code is still one of the most awesomest books i've ever read...,0.5,0.5
57,1,I did love The Da Vinci Code though.,0.5,0.6
58,1,The Da Vinci Code is awesome!..,1.0,1.0
59,1,I love the Da Vinci Code too.,0.5,0.6
60,1,"shit, i love the da vinci code.",0.15,0.7
61,1,"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?..",0.4375,0.6875
62,1,"the da vinci code was an awesome book, i just finished it.",1.0,1.0
63,1,da vinci code is awesome..,1.0,1.0
64,1,I love The Da Vinci Code...,0.5,0.6
65,1,I LOVE THE DA VINCI CODE!!..,0.78125,0.6
66,1,I LOVE THE DA VINCI CODE!!.,0.78125,0.6
67,1,damn i love da vinci code.,0.5,0.6
68,1,The Da Vinci Code was fucking awesome!..,1.0,1.0
69,1,The Da Vinci Code was awesome.,1.0,1.0
70,1,"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr.",0.1333333333333333,0.6166666666666667
71,1,I loved the Da Vinci Code and the like.,0.7,0.8
72,1,Da Vinci Code-that was awesome!..,1.0,1.0
73,1,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...",0.18333333333333326,0.7666666666666666
74,1,The Da Vinci Code is an awesome book.,1.0,1.0
75,1,Yeah the Da Vinci code is awesome....,1.0,1.0
76,1, The Da Vinci Code  is awesome though.,1.0,1.0
77,1,i LOVE the da vinci code!,0.625,0.6
